sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,4.05,49.05,26.085144,54.790719,265.33018,0.20650014,0.56748033,12,4,0.5,0.375,0.7,0.18090511,29,6,12,1.6541543
dA40,4.06,49.06,25.953245,53.381163,264.22096,0.20203228,0.56497349,13,4,0.475,0.35,0.6,0.17941307,29,5,10,1.6482986
dA40,4.07,49.07,25.955852,53.252097,265.37182,0.20066975,0.56348807,10,3,0.575,0.475,0.65,0.16290403,30,6,9,1.6754221
dA40,4.08,49.08,25.690493,53.277542,265.74718,0.20048206,0.56352067,12,4,0.5,0.35,0.625,0.19004484,30,6,9,1.6691581
dA40,4.09,49.09,26.022991,53.608032,264.8049,0.2024435,0.55989203,14,4,0.45,0.325,0.6,0.19774816,29,6,9,1.649303
dA40,4.1,49.1,26.242042,53.571887,265.64129,0.20167003,0.57140254,13,4,0.475,0.325,0.625,0.20994181,28,4,6,1.6407063
dA40,4.11,49.11,26.068351,53.36499,267.11368,0.19978382,0.5720371,12,4,0.475,0.325,0.65,0.20261391,30,5,9,1.6471188
dA40,4.12,49.12,25.794849,52.563682,266.70298,0.19708697,0.54918195,11,4,0.525,0.4,0.675,0.21216523,26,5,7,1.6240423
dA40,4.13,49.13,25.692806,52.613833,266.75621,0.19723564,0.55760672,13,3,0.45,0.35,0.675,0.22768121,27,6,8,1.653526
dA40,4.14,49.14,25.909708,53.125301,265.14855,0.20036052,0.55868952,11,3,0.525,0.375,0.65,0.22809483,29,4,7,1.6541429
